# ui_screenshot manifest — host-rendered UI captures (ADR 0004)
# Regenerate: cd tools/ui_screenshot && cargo run --release
# Each line: <png>  <bytes>  <what it shows>

atom-drop-shadow.png                      1656653  Soft ambient drop shadow (SDF feather) vs the rejected hard offset block; FAIL-able penumbra ramp proven
atom-glass-panel.png                      1459858  Glassmorphic panel: translucent glass tint over colorful backdrop, top-edge highlight + hairline stroke
atom-primitives.png                       1277383  Core primitives: rounded-rects (radii 0..40), vertical gradients, anti-aliased circles
atom-type-ramp.png                        1837568  raefont grayscale-AA type ramp (Display..Caption, RaeSans + RaeMono) — text-crispness reference
atom-focus-ring.png                        973258  raeui::draw_focus_ring: normal accent (left) + auto-swapped high-contrast cyan (right)
atom-icons.png                            2969015  RaeGFX line-icon set: CC-tile size in glass tiles + 72px scaling proof + token-tinted strip (replaces letter placeholders)
wallpaper-aurora-dark.png                 4097178  raegfx::glass::render_aurora_dark — full-screen procedural Aurora Mesh (blue/violet/teal blobs, soft falloff, vignette); replaces the flat navy void
glass-tiers-over-aurora.png               2455173  raegfx::glass::draw_glass_surface — chrome/panel/popover tiers over the aurora (luma auto-adjust + iridescent edge); backdrop reads through, opacity rises left->right
glass-iridescent-edge-3x.png               576508  raegfx::glass::draw_iridescent_rim — 3x zoom of a panel BOTTOM-RIGHT corner: the violet(right)->warm-amber(bottom) chromatic sweep over the aurora (the iridescent signature, two hues in one crop); FAIL-able chromatic-pixel proof
surface-control-center.png                4097178  SHIPPED ControlCenter::render OVER the Aurora Mesh backdrop — glass panel, tile grid, sliders, media card, expanded Wi-Fi list (void-defect before/after)
surface-files.png                         3169028  LIVE apps/files::render_preview — real Files window (Home demo state) over the aurora
surface-notifications.png                 4097178  SHIPPED NotificationDaemon::render_toasts OVER the Aurora Mesh backdrop — stacked glass toast cards (normal/low/critical urgency)
surface-taskbar.png                       4097178  SHIPPED Taskbar::render OVER the Aurora Mesh — glass.chrome tier (see-through frosted bar + iridescent rim), frosted app pills, accent-filled active app with dark on-accent ink, token-tinted tray (first critiquable taskbar)
surface-start-menu.png                    4097178  SHIPPED StartMenu::render OVER the Aurora Mesh — glass.popover tier (frosted flyout + iridescent rim), app tiles as frosted cards, accent-filled selection with dark on-accent ink (retires the opaque StartMenuTheme navy)
surface-context-menu.png                  1229438  SHIPPED ContextMenu::render OVER the Aurora Mesh — glass.popover flyout (frosted + iridescent rim + soft shadow), RaeSans rows with leading line-icons, right-aligned shortcut hints, stroke.subtle separators, an accent-wash hover row with dark on-accent ink, a disabled text.tertiary row (glassifies the highest-frequency right-click surface)
surface-settings.png                      4097178  SHIPPED ControlPanel::render OVER the Aurora Mesh — glass.panel tier (frosted Settings window + iridescent rim), frosted sidebar + de-tinted SOLID content area (readable, not a dark box), accent on the selected nav row
surface-lock-screen.png                   4097178  SHIPPED LockScreen::render OVER the Aurora Mesh — glass.popover card (frosted + iridescent rim) holding the clock, avatar, display name, and password pill; token colors + RaeSans (retires the flat hardcoded-hex lock render)
surface-command-palette.png               4097178  SHIPPED CommandPalette::render OVER the Aurora Mesh — glass.popover flyout (frosted + iridescent rim + soft ambient shadow), RaeSans search field with a real magnifier icon, result rows with leading raegfx line-icons, an accent-wash selected row with dark on-accent ink, secondary path text + right-aligned category tags (retires the deprecated GLASS_TINT_DARK alias fill)
surface-snap-layouts.png                  4097178  SnapOverlay::render OVER the Aurora Mesh — the NEW Win11-style Snap Layouts flyout (glass.popover): a 3x2 grid of layout templates (two-even, large-left, left+stack, quadrants, thirds, wide-center), each a scaled preview of its exact work-area tiling, with an accent-fill hover preview on the selected zone (dark on-accent). Opened with the Rae key + Z; clicking a zone snaps the focused window to that exact region
surface-snap-assist.png                   4097178  SnapAssist::render OVER the Aurora Mesh — after a window snaps to the LEFT half, Snap Assist fills the empty RIGHT zone with a glass picker of the other windows' tiles (accent-outlined on hover, RaeSans labels), the occupied zone outlined. Click a tile to fill the zone; advances zone-by-zone until the layout is full (Win11 parity)
